obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
498, 502.9, 1118453, 32462, 15388, 13671, 13266, 45313, 14491, 5290, 57, 60, NA, 1258334,  X
499, 503.9, 943095, 143573, 16834, 23457, 6520, 28636, 8742, 6626, 61, 54, NA, 1177483,  X
500, 504.9, 793185, 98664, 46764, 10499, 12393, 19203, 5228, 24073, 67, 54, NA, 1010009,  X
501, 505.9, 1721010, 70201, 27644, 4615, 10677, 24273, 14166, 5472, 70, 50, NA, 1878058,  X
502, 506.9, 1082254, 308180, 12702, 12268, 5212, 24450, 7960, 8421, 50, 38, NA, 1461447,  X
503, 507.9, 1692208, 273320, 136835, 36928, 13953, 43301, 19639, 12122, 47, 44, NA, 2228306,  X
504, 509.0, 406461, 99818, 26013, 12031, 15043, 15742, 5110, 4100, 44, 41, NA, 584318,  X
505, 509.9, 1620460, 37072, 4134, 16749, 29696, 21322, 8206, 6067, 50, 40, NA, 1743706,  X
506, 510.9, 104900, 739578, 109836, 27913, 19577, 83928, 94948, 16648, 53, 47, NA, 1197328,  X
507, 511.9, 643917, 143202, 20791, 5587, 6495, 15592, 10396, 1626, 53, 37, NA, 847606,  X
508, 512.9, 1811597, 460654, 77056, 31359, 20968, 57487, 46803, 9470, 51, 34, NA, 2515394,  X
509, 513.9, 1731768, 564337, 61591, 45016, 37663, 44107, 23461, 13046, 37, 29, NA, 2520989,  X
510, 514.9, 864762, 108272, 16743, 40808, 3486, 13849, 21777, 2621, 35, 38, NA, 1072318,  X
511, 515.9, 61351, 53425, 26593, 32122, 18400, 73378, 27092, 19235, 51, 47, NA, 311596,  X
512, 516.9, 280266, 93463, 43128, 10143, 19543, 13364, 10795, 1384, 51, 53, NA, 472086,  X
513, 518.0, 133567, 36425, 21477, 75326, 20950, 48000, 22619, 6198, 64, 66, NA, 364562,  X
514, 519.0, 262751, 95600, 98782, 10496, 20522, 18533, 5439, 4670, 66, 70, NA, 516793,  X
515, 519.9, 111990, 94415, 64692, 8310, 24954, 8530, 28433, 6966, 44, 74, NA, 348290,  X
516, 520.9, 617998, 159204, 10404, 38225, 8793, 11537, 8983, 3693, 40, 69, NA, 858837,  X
517, 521.9, 126864, 7519, 4301, 6264, 992, 2225, 1503, 1873, 30, 70, NA, 151541,  X
518, 523.0, 24220, 94527, 12507, 33458, 33012, 10681, 3479, 3729, 29, 63, NA, 215613,  X
519, 524.0, 250693, 76317, 18591, 12973, 16863, 10698, 13606, 3211, 35, 57, NA, 402952,  X
520, 525.0, 1284294, 119134, 85767, 5846, 4103, 14088, 9263, 4210, 37, 64, NA, 1526705,  X
521, 525.9, 214558, 29531, 6168, 3608, 2838, 5649, 2018, 1163, 38, 51, NA, 265533,  X
522, 526.9, 428640, 60657, 4304, 11222, 6602, 8488, 8700, 16331, 41, 48, NA, 544944,  X
523, 528.0, 1143840, 378060, 157725, 115323, 37898, 64174, 20585, 9539, 43, 53, NA, 1927144,  X
524, 528.9, 183098, 49035, 8216, 862, 1413, 13470, 2485, 631, 53, 40, NA, 259210,  X
525, 529.9, 1720767, 513642, 79771, 10784, 30518, 12696, 24601, 7236, 35, 37, NA, 2400015,  X
526, 530.9, 639533, 25019, 6123, 3178, 6960, 7244, 11520, 6632, 41, 38, NA, 706209,  X
527, 532.0, 2119282, 798038, 78700, 78446, 140397, 66057, 56161, 20537, 38, 26, NA, 3357618,  X
528, 532.9, 442957, 145597, 55864, 14762, 11655, 15962, 42787, 3202, 27, 37, NA, 732786,  X
529, 534.0, 109539, 25733, 11438, 11236, 4841, 8514, 4023, 476, 48, 47, NA, 175800,  X
530, 534.9, 508346, 83671, 5512, 7199, 7515, 5363, 5378, 2831, 37, 41, NA, 625815,  X
531, 535.9, 298311, 191115, 6962, 53757, 7431, 19712, 12115, 12394, 37, 47, NA, 601797,  X
532, 536.9, 2005343, 212363, 34063, 15219, 13879, 32412, 14642, 14065, 41, 40, NA, 2341986,  X
533, 537.9, 226902, 52649, 4873, 12541, 7442, 6254, 6212, 1567, 34, 34, NA, 318440,  X
534, 538.9, 114404, 23021, 2806, 1303, 8697, 8232, 2432, 4298, 50, 30, NA, 165193,  X
535, 539.9, 102947, 53776, 6455, 16816, 8015, 4736, 6986, 1504, 48, 34, NA, 201235,  X
536, 541.0, 251262, 26521, 59930, 33985, 24237, 31377, 7006, 5172, 54, 48, NA, 439490,  X
537, 541.9, 77395, 71373, 2659, 9943, 2450, 2539, 1280, 1062, 44, 44, NA, 168701,  X
538, 542.9, 79799, 9249, 1549, 3452, 2966, 2707, 1010, 725, 40, 53, NA, 101457,  X
539, 543.9, 880597, 20561, 2100, 5465, 1581, 3926, 1401, 1011, 48, 53, NA, 916642,  X
540, 544.9, 46744, 31825, 4161, 373, 1116, 1470, 1807, 394, 29, 35, NA, 87890,  X
541, 545.9, 133807, 56895, 16642, 18921, 16400, 22071, 16970, 4206, 48, 41, NA, 285912,  X
542, 547.0, 19804, 25310, 18827, 17084, 11282, 21410, 6366, 2183, 54, 47, NA, 122266,  X
543, 547.9, 28474, 22167, 15281, 30752, 26595, 10456, 5400, 2168, 54, 54, NA, 141293,  X
544, 548.9, 87417, 85042, 228, 14563, 20550, 11282, 13501, 5911, 63, 54, NA, 238494,  X
545, 549.9, 403450, 188361, 12284, 19453, 13716, 10246, 3540, 1800, 50, 48, NA, 652850,  X
546, 550.9, 888731, 125999, 24763, 45966, 10549, 70045, 25575, 17280, 50, 43, NA, 1208908,  X
547, 551.9, 465767, 142255, 15054, 12811, 28249, 14080, 15978, 11448, 44, 29, NA, 705642,  X
548, 552.9, 2065007, 153118, 39772, 46974, 31740, 28138, 25800, 5051, 44, 38, NA, 2395600,  X
549, 554.0, 177688, 5349, 6616, 6808, 2467, 4058, 2265, 819, 57, 54, NA, 206070,  X
550, 554.9, 256911, 50599, 8605, 1204, 1737, 11689, 1842, 2014, 53, 48, NA, 334601,  X
551, 555.9, 1037951, 170085, 50762, 19537, 12280, 12014, 9279, 3470, 48, 54, NA, 1315378,  X
552, 557.0, 124823, 209320, 24043, 10269, 18977, 26297, 4675, 2767, 47, 47, NA, 421171,  X
553, 557.9, 301953, 15803, 3739, 2660, 1617, 6858, 11465, 1057, 51, 35, NA, 345152,  X
554, 558.9, 475502, 38875, 3424, 4290, 7077, 9440, 5376, 499, 51, 35, NA, 544483,  X
555, 559.9, 375003, 70906, 6818, 848, 2727, 3405, 323, 676, 51, 23, NA, 460706,  X
556, 560.9, 955278, 260303, 14331, 5117, 19171, 40744, 9144, 5843, 53, 16, NA, 1309931,  X
557, 561.9, 308115, 120454, 34151, 5158, 11627, 10472, 4837, 3988, 40, 16, NA, 498802,  X
558, 562.9, 335378, 120102, 37756, 29076, 17321, 17125, 7189, 13639, 30, 26, NA, 577586,  X
559, 563.9, 1562381, 153576, 58199, 14061, 14931, 29509, 60295, 11880, 41, 37, NA, 1904832,  X
560, 564.9, 1750735, 122100, 29973, 10274, 13612, 64277, 20761, 4538, 51, 47, NA, 2016270,  X
561, 566.0, 104957, 91547, 451, 4318, 2535, 15255, 6626, 2683, 60, 30, NA, 228372,  X
562, 566.9, 214598, 19841, 1735, 1125, 2067, 3577, 1977, 2769, 63, 20, NA, 247689,  X
563, 567.9, 46160, 13360, 2678, 2145, 442, 3426, 914, 203, 66, 17, NA, 69328,  X
564, 568.9, 986005, 104329, 34184, 5127, 8092, 37547, 31625, 4060, 63, 20, NA, 1210969,  X
565, 569.9, 400959, 210035, 14004, 9863, 11886, 43641, 68847, 5532, 63, 24, NA, 764767,  X
566, 571.0, 696047, 7332, 3207, 2198, 1342, 9252, 10491, 1520, 78, 34, NA, 731389,  X
567, 571.9, 287519, 5603, 985, 2571, 978, 8042, 4183, 1580, 91, 30, NA, 311461,  X
568, 573.0, 309503, 127740, 23617, 11752, 6713, 29528, 9127, 6046, 90, 29, NA, 524026,  X
569, 573.9, 1333957, 277235, 25117, 3385, 21079, 37158, 39665, 4082, 87, 29, NA, 1741678,  X
570, 574.9, 164807, 30605, 5887, 883, 2079, 10880, 5929, 1329, 77, 24, NA, 222399,  X
571, 575.9, 1899891, 138143, 8227, 6995, 10002, 28152, 17175, 4667, 63, 16, NA, 2113252,  X
572, 576.9, 650928, 163200, 44210, 21161, 23381, 21026, 23860, 4246, 56, 21, NA, 952012,  X
573, 577.9, 624328, 144549, 46436, 20957, 10978, 41727, 15901, 3881, 61, 34, NA, 908757,  X
574, 578.9, 600386, 29764, 4865, 5203, 1099, 12264, 4073, 981, 61, 37, NA, 658635,  X
575, 579.9, 162663, 40830, 6878, 2892, 1687, 4869, 8436, 1182, 56, 43, NA, 229437,  X
576, 580.9, 1760470, 929248, 7404, 142455, 44160, 41562, 40994, 16373, 48, 37, NA, 2982666,  X
577, 582.0, 112581, 84388, 2926, 6825, 4657, 8985, 9809, 1892, 41, 26, NA, 232063,  X
578, 582.9, 1048113, 33883, 41382, 12205, 12784, 28538, 28129, 5335, 41, 35, NA, 1210369,  X
579, 583.9, 193142, 51175, 2332, 1797, 1959, 3218, 3856, 2190, 37, 27, NA, 259669,  X
580, 584.9, 212272, 31102, 8447, 3275, 2803, 9218, 2907, 2865, 53, 34, NA, 272889,  X
581, 585.9, 1137417, 145656, 60430, 25820, 13587, 68076, 7315, 10296, 63, 43, NA, 1468597,  X
582, 586.9, 171205, 72369, 7082, 2763, 1304, 8414, 3643, 659, 53, 27, NA, 267439,  X
583, 587.9, 1717291, 154773, 12215, 20459, 14493, 41657, 5790, 3666, 64, 35, NA, 1970344,  X
584, 589.0, 293776, 37691, 8843, 726, 3799, 5246, 1984, 504, 60, 30, NA, 352569,  X
585, 589.9, 1865824, 777595, 149793, 48393, 111956, 185991, 47983, 28065, 54, 24, NA, 3215600,  X
586, 590.9, 1220069, 179989, 4899, 27404, 8269, 61257, 4149, 6080, 64, 26, NA, 1512116,  X
587, 591.9, 1370433, 109267, 22801, 16218, 10235, 73511, 19081, 5774, 70, 27, NA, 1627320,  X
588, 592.9, 390131, 73290, 4837, 1714, 2732, 19547, 2859, 1300, 78, 17, NA, 496410,  X
589, 593.9, 99512, 54578, 15054, 11051, 2167, 12038, 1859, 1842, 75, 24, NA, 198101,  X
590, 594.9, 615802, 17199, 9669, 25278, 3549, 4099, 1620, 1064, 64, 44, NA, 678280,  X
591, 595.9, 509383, 216724, 17835, 35957, 11503, 33712, 17192, 6193, 53, 44, NA, 848499,  X
592, 597.0, 688598, 334258, 7367, 18213, 2364, 12431, 11514, 5174, 37, 44, NA, 1079919,  X
593, 598.0, 1171946, 86607, 20969, 11688, 17686, 13565, 16708, 15624, 35, 43, NA, 1354793,  X
594, 599.0, 604019, 34088, 5626, 13894, 4468, 4388, 4382, 3551, 34, 34, NA, 674416,  X
595, 600.0, 477135, 14102, 9424, 1804, 2557, 3075, 2801, 901, 34, 41, NA, 511799,  X
596, 601.0, 1870674, 365617, 101895, 120815, 29312, 94296, 48896, 36109, 47, 56, NA, 2667614,  X
597, 602.0, 1089610, 50997, 28791, 30730, 6172, 19404, 26673, 8318, 50, 64, NA, 1260695,  X
598, 603.0, 909160, 327313, 88464, 41681, 37028, 20924, 17374, 15060, 44, 63, NA, 1457004,  X
599, 604.0, 688136, 48247, 6132, 13074, 4700, 4048, 6730, 1599, 38, 60, NA, 772666,  X
600, 605.0, 162710, 53488, 9519, 1936, 1198, 7754, 1920, 1409, 37, 51, NA, 239934,  X
601, 606.0, 1200501, 114954, 26437, 26866, 21544, 26979, 6255, 8281, 35, 44, NA, 1431817,  X
602, 607.0, 376404, 118439, 41609, 16739, 11656, 7635, 13656, 9665, 35, 47, NA, 595803,  X
603, 607.9, 251286, 171811, 33603, 18191, 10233, 8875, 7888, 7285, 30, 44, NA, 509172,  X
604, 608.9, 446595, 95282, 4159, 11430, 3780, 5906, 3982, 4469, 23, 44, NA, 575603,  X
605, 608.9, 143849, 65395, 5549, 5186, 3126, 6160, 1459, 2006, 16, 37, NA, 232730,  X
