obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
85, 88.0, 1339372, 657547, 151218, 43824, 95881, 89876, 33747, 21194, 11, 34, NA, 2432659,  X*
86, 89.0, 206605, 30671, 3204, 2813, 2841, 888, 2638, 1631, 1, 27, NA, 251291,  X*
87, 90.0, 1311585, 540843, 65359, 48334, 11882, 24279, 5787, 3812, 1, 21, NA, 2011881,  X*
88, 91.0, 55184, 78996, 6857, 26096, 13983, 4463, 4264, 1469, 1, 20, NA, 191312,  X*
89, 92.0, 144900, 89581, 61107, 13290, 7266, 7286, 3145, 2002, 1, 30, NA, 328577,  X*
90, 93.0, 64666, 46161, 17547, 17013, 18388, 3864, 4710, 2245, 1, 41, NA, 174594,  X*
91, 94.0, 60147, 23812, 18073, 3257, 6033, 9343, 2791, 1463, 8, 51, NA, 124919,  X*
92, 95.0, 93396, 22536, 9843, 5422, 10518, 4473, 5507, 860, 17, 51, NA, 152555,  X*
93, 96.0, 52787, 56963, 48852, 6593, 3685, 12200, 3863, 1371, 27, 51, NA, 186314,  X*
94, 97.0, 621667, 81215, 17783, 10792, 6584, 10150, 3431, 1144, 34, 47, NA, 752766,  X*
95, 98.0, 41261, 76660, 18548, 3811, 10509, 17280, 2102, 1534, 30, 38, NA, 171705,  X*
96, 99.0, 38455, 68252, 14225, 4754, 8414, 5189, 3866, 1626, 24, 34, NA, 144781,  X*
97, 100.0, 91986, 49472, 16385, 21794, 7308, 6872, 3508, 616, 21, 30, NA, 197941,  X*
98, 101.0, 35563, 10699, 8151, 7973, 5934, 14960, 2142, 1113, 41, 37, NA, 86535,  X*
99, 102.0, 30753, 81483, 23819, 13202, 4385, 3692, 1181, 1683, 23, 43, NA, 160198,  X*
100, 103.0, 35738, 86758, 5151, 6718, 11689, 6085, 1649, 1328, 21, 37, NA, 155116,  X*
101, 104.0, 27850, 93574, 15107, 13114, 5768, 7034, 1182, 2010, 17, 29, NA, 165639,  X*
102, 105.0, 62633, 11788, 20124, 33215, 10470, 7426, 1556, 2226, 1, 41, NA, 149438,  X*
103, 106.0, 55000, 39628, 23412, 7270, 15528, 5005, 1079, 1583, 10, 41, NA, 148505,  X*
104, 107.0, 55910, 34845, 9498, 12579, 16794, 22237, 2211, 596, 29, 50, NA, 154670,  X*
105, 108.0, 35388, 25660, 9445, 5154, 3418, 6383, 1562, 1469, 41, 53, NA, 88479,  X*
106, 109.0, 56829, 90922, 1021, 5148, 5920, 5027, 827, 185, 34, 23, NA, 165879,  X*
107, 110.0, 37628, 140406, 6026, 46289, 13562, 4332, 1448, 1139, 21, 20, NA, 250830,  X*
108, 111.0, 108506, 84090, 26748, 2682, 11935, 14132, 1123, 1509, 10, 20, NA, 250725,  X*
109, 112.0, 47693, 21933, 9902, 7733, 5148, 7252, 3074, 1516, 13, 21, NA, 104251,  X*
110, 113.0, 68149, 15547, 1591, 37161, 6661, 6198, 2477, 580, 21, 48, NA, 138364,  X*
111, 114.0, 50816, 74549, 37832, 7169, 14134, 5781, 4327, 1818, 27, 51, NA, 196426,  X*
112, 115.0, 48284, 14903, 16502, 25302, 3503, 8793, 2013, 1114, 29, 67, NA, 120414,  X*
113, 116.0, 64987, 41345, 34563, 40315, 10156, 6978, 2371, 1381, 17, 77, NA, 202096,  X*
114, 117.0, 75585, 28987, 5398, 587, 2780, 2902, 991, 130, 13, 56, NA, 117360,  X*
115, 118.0, 65575, 76791, 39394, 76036, 11908, 6339, 2035, 986, 10, 64, NA, 279064,  X*
116, 119.0, 46081, 24308, 62723, 22893, 8082, 11782, 1244, 1937, 4, 67, NA, 179050,  X*
117, 120.0, 63242, 30907, 10548, 15631, 6834, 4542, 2225, 1330, 10, 60, NA, 135259,  X*
118, 121.0, 47786, 10623, 31441, 8310, 6529, 3545, 2017, 853, 8, 81, NA, 111104,  X*
119, 122.0, 94898, 72205, 9593, 7631, 12081, 11662, 1490, 1282, 21, 64, NA, 210842,  X*
120, 123.0, 44461, 24662, 7301, 9512, 8356, 3034, 1319, 850, 17, 53, NA, 99495,  X*
121, 124.0, 23246, 40187, 58499, 24865, 9042, 5097, 2050, 1249, 10, 61, NA, 164235,  X*
122, 125.0, 72607, 114010, 5587, 10377, 6223, 12391, 3719, 1401, 13, 37, NA, 226315,  X*
123, 126.0, 116201, 89383, 13261, 37521, 16790, 8425, 2408, 1254, 4, 44, NA, 285243,  X*
124, 127.0, 77529, 39499, 10875, 3722, 11353, 4874, 1537, 1174, 7, 40, NA, 150563,  X*
125, 128.0, 218756, 18840, 5247, 7499, 5323, 2512, 958, 493, 14, 27, NA, 259628,  X*
126, 129.0, 31396, 23178, 21292, 4057, 3076, 7151, 1044, 2183, 20, 44, NA, 93377,  X*
127, 130.0, 161800, 67913, 32873, 22228, 15450, 3998, 3636, 3429, 11, 48, NA, 311327,  X*
128, 131.0, 56591, 28468, 20505, 42241, 7043, 7787, 1822, 1485, 11, 63, NA, 165942,  X*
129, 132.0, 167439, 150107, 28609, 8565, 13353, 3360, 1674, 2456, 1, 56, NA, 375563,  X*
130, 133.0, 37925, 24944, 15336, 2882, 1835, 9549, 2157, 1020, 7, 54, NA, 95648,  X*
131, 134.0, 50136, 16238, 738, 2540, 2731, 1131, 425, 289, 14, 41, NA, 74228,  X*
132, 135.0, 42614, 59507, 40297, 13887, 8818, 13674, 1735, 1485, 20, 34, NA, 182017,  X*
133, 136.0, 101254, 55549, 36337, 77922, 22458, 7230, 2970, 1234, 27, 50, NA, 304954,  X*
134, 137.0, 479017, 21467, 1417, 10853, 2693, 2100, 1051, 483, 14, 48, NA, 519081,  X*
135, 138.0, 430676, 766094, 68551, 7236, 5133, 20626, 7227, 7434, 8, 43, NA, 1312977,  X*
136, 139.0, 669383, 64988, 17082, 28157, 6898, 12336, 2839, 3139, 7, 41, NA, 804822,  X*
137, 140.0, 73854, 42130, 29708, 5669, 8826, 5721, 5014, 1574, 11, 37, NA, 172496,  X*
138, 141.0, 176211, 38262, 10502, 14374, 5699, 9398, 3219, 1068, 20, 37, NA, 258733,  X*
139, 142.0, 12856, 25086, 10051, 80797, 13186, 29768, 1834, 1347, 41, 60, NA, 174925,  X*
140, 143.0, 70603, 33245, 16872, 15257, 29451, 3387, 1887, 1997, 35, 57, NA, 172699,  X*
141, 144.0, 66779, 74755, 12618, 7092, 11534, 8269, 1608, 795, 37, 48, NA, 183450,  X*
142, 145.0, 68863, 30011, 34806, 4332, 14625, 4628, 2528, 2075, 29, 53, NA, 161868,  X*
143, 146.0, 30673, 10960, 477, 2796, 3779, 2375, 1453, 907, 26, 35, NA, 53420,  X*
144, 147.0, 35720, 19712, 5326, 6305, 2685, 5026, 4403, 1741, 37, 34, NA, 80918,  X*
145, 148.0, 81158, 14612, 3445, 589, 1658, 869, 1357, 390, 27, 35, NA, 104078,  X*
146, 149.0, 35562, 20075, 16771, 9154, 3996, 3891, 1623, 1935, 30, 37, NA, 93007,  X*
147, 150.0, 46890, 22805, 10382, 13320, 7980, 7763, 3389, 572, 30, 47, NA, 113101,  X*
148, 151.0, 72708, 44207, 42336, 9090, 7228, 8095, 3012, 1869, 26, 53, NA, 188545,  X*
149, 152.0, 50424, 136866, 58048, 8299, 9195, 10752, 3140, 2265, 27, 60, NA, 278989,  X*
150, 153.0, 63821, 100720, 23988, 6872, 7808, 3756, 4055, 1436, 16, 50, NA, 212456,  X*
151, 154.0, 127494, 4456, 7248, 866, 2725, 3474, 537, 203, 20, 51, NA, 147003,  X*
152, 155.0, 27373, 58009, 14729, 663, 10299, 8744, 3500, 1324, 23, 40, NA, 124641,  X*
153, 156.0, 13676, 34705, 24413, 3573, 5859, 6745, 1492, 1975, 29, 41, NA, 92438,  X*
154, 157.0, 164901, 65078, 46266, 3666, 14341, 7723, 3771, 2000, 40, 48, NA, 307746,  X*
155, 158.0, 202590, 24032, 4230, 7455, 3394, 2846, 1076, 184, 27, 41, NA, 245807,  X*
156, 159.0, 56745, 57089, 11141, 7900, 3209, 5119, 2796, 1113, 21, 44, NA, 145112,  X*
