obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
188, 190.9, 4629, 20174, 20569, 3675, 1722, 7569, 1758, 703, 21, 83, NA, 60799,  X
189, 191.9, 56065, 20124, 10040, 3632, 1953, 1564, 447, 297, 21, 93, NA, 94122,  X
190, 192.9, 91397, 17185, 16058, 1669, 7000, 3829, 1177, 517, 21, 84, NA, 138832,  X
191, 193.9, 52280, 28381, 9383, 4241, 2434, 2503, 1057, 208, 34, 84, NA, 100487,  X
192, 194.9, 29264, 10213, 2370, 13291, 4873, 1670, 1843, 1638, 26, 87, NA, 65162,  X
193, 195.9, 951602, 31330, 43510, 41907, 24953, 3740, 5082, 3377, 23, 93, NA, 1105501,  X
194, 196.9, 30656, 74630, 18624, 16475, 24532, 8989, 4790, 3654, 21, 88, NA, 182350,  X
195, 197.9, 2042936, 122351, 37522, 86228, 15150, 19238, 24628, 8480, 23, 94, NA, 2356533,  X
196, 198.9, 25456, 10454, 42777, 13630, 8511, 30933, 25296, 7665, 38, 96, NA, 164722,  X
197, 199.9, 58245, 16608, 10487, 12134, 12715, 16213, 18700, 14746, 57, 87, NA, 159848,  X
198, 200.9, 248218, 108189, 5907, 9396, 979, 11386, 6057, 7119, 57, 78, NA, 397251,  X
199, 201.9, 156322, 20435, 10953, 1478, 3071, 12103, 3513, 2280, 69, 70, NA, 210155,  X
200, 202.9, 221831, 153100, 15499, 26905, 11354, 23040, 42096, 6788, 60, 56, NA, 500613,  X
201, 203.9, 872238, 52331, 31034, 12642, 16541, 96924, 25476, 6880, 66, 50, NA, 1114066,  X
202, 204.9, 222534, 38199, 14426, 14129, 13274, 49821, 45453, 9421, 83, 57, NA, 407257,  X
203, 205.9, 1405083, 239167, 18949, 14500, 42617, 39840, 27517, 11632, 77, 48, NA, 1799305,  X
204, 206.9, 168595, 91505, 33522, 27745, 22898, 40259, 19926, 13112, 81, 51, NA, 417562,  X
205, 207.9, 491983, 92366, 22203, 31507, 25269, 4562, 2130, 1754, 54, 57, NA, 671774,  X
206, 208.9, 10232, 45423, 38221, 5271, 4705, 4806, 3989, 3652, 35, 66, NA, 116299,  X
207, 209.9, 4275, 28496, 1757, 7060, 9992, 4718, 2965, 1100, 35, 70, NA, 60363,  X
208, 210.9, 430121, 49404, 67424, 7013, 5674, 5414, 1665, 2023, 20, 83, NA, 568738,  X
209, 211.9, 19601, 60667, 12856, 4147, 7508, 2706, 4149, 981, 21, 78, NA, 112615,  X
210, 212.9, 79975, 54215, 135964, 47334, 13414, 52943, 27226, 10078, 30, 83, NA, 421149,  X
211, 213.9, 1323489, 94087, 20365, 10831, 13398, 9819, 13687, 1912, 26, 87, NA, 1487588,  X
212, 214.9, 1579412, 162072, 46590, 30846, 26513, 33241, 4740, 2732, 37, 75, NA, 1886146,  X
213, 215.9, 169278, 64796, 32382, 19803, 10080, 8100, 3884, 1653, 43, 83, NA, 309976,  X
214, 216.9, 160128, 12125, 59393, 16170, 14227, 11945, 7628, 4260, 40, 84, NA, 285876,  X
215, 217.9, 2053, 18240, 25065, 10285, 8104, 9277, 3086, 3261, 47, 96, NA, 79371,  X
216, 218.9, 12710, 16903, 11767, 9081, 10513, 7239, 2993, 3468, 48, 100, NA, 74674,  X
217, 219.9, 27407, 19556, 6414, 4847, 3730, 3297, 1683, 1014, 50, 97, NA, 67948,  X
218, 220.9, 862, 24157, 16688, 3819, 2878, 2531, 1055, 1010, 43, 88, NA, 53000,  X
219, 221.9, 198044, 61821, 53697, 4184, 12621, 5756, 2107, 1972, 34, 87, NA, 340202,  X
220, 222.9, 14439, 22978, 6360, 7003, 3580, 5939, 3861, 2299, 30, 83, NA, 66459,  X
221, 223.9, 753789, 338500, 36448, 58387, 24273, 36067, 14872, 10470, 30, 77, NA, 1272806,  X
222, 224.9, 96699, 19316, 10176, 5421, 3638, 4343, 10798, 1952, 37, 77, NA, 152343,  X
223, 225.9, 283921, 32690, 6814, 2028, 4817, 8213, 4340, 1437, 48, 63, NA, 344260,  X
224, 226.9, 1836558, 596233, 14203, 21439, 27734, 38930, 27001, 13305, 41, 44, NA, 2575403,  X
225, 227.9, 194208, 14518, 4413, 7263, 2480, 2333, 2448, 2133, 43, 54, NA, 229796,  X
226, 228.9, 631322, 71012, 24855, 22072, 18118, 21860, 21545, 9346, 44, 51, NA, 820130,  X
227, 229.9, 15325, 65966, 1654, 7664, 12535, 26772, 13987, 18542, 48, 44, NA, 162445,  X
228, 230.9, 9144, 5821, 5201, 3994, 6611, 30466, 21450, 10486, 77, 56, NA, 93173,  X
229, 231.9, 138241, 47877, 7008, 2657, 10231, 6188, 2186, 3928, 77, 44, NA, 218316,  X
230, 232.9, 341899, 69869, 22816, 15716, 8654, 7168, 3541, 3871, 69, 44, NA, 473534,  X
231, 233.9, 170437, 13725, 8322, 3891, 2817, 1567, 1791, 913, 56, 63, NA, 203463,  X
232, 234.9, 38355, 20287, 3818, 4483, 4398, 3135, 4135, 2410, 34, 66, NA, 81021,  X
233, 235.9, 25390, 25753, 9883, 15041, 16133, 8946, 3296, 1598, 38, 77, NA, 106040,  X
234, 237.0, 52547, 50853, 44039, 3143, 11342, 8087, 6625, 2340, 40, 80, NA, 178976,  X
235, 237.9, 54097, 16866, 7431, 2622, 3834, 3547, 871, 620, 44, 77, NA, 89888,  X
236, 238.9, 39002, 28692, 20940, 6535, 3858, 5172, 1593, 715, 43, 83, NA, 106507,  X
237, 239.9, 156409, 81041, 45440, 20054, 13456, 19133, 3979, 1892, 41, 84, NA, 341404,  X
238, 240.9, 17528, 17309, 14449, 17019, 1733, 6275, 2648, 1403, 44, 90, NA, 78364,  X
239, 241.9, 7194, 16925, 11719, 5060, 6519, 5154, 1559, 951, 47, 94, NA, 55081,  X
