obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
102, 105.9, 1165654, 77388, 25746, 93662, 20455, 32026, 13352, 5097, 23, 40, NA, 1433380,  X*
103, 106.9, 122732, 23661, 6641, 15637, 8214, 9615, 3565, 416, 29, 43, NA, 190481,  X*
104, 107.9, 2491926, 46971, 32210, 65629, 42957, 85820, 10261, 3654, 63, 60, NA, 2779428,  X*
105, 108.9, 76806, 23610, 17633, 3452, 8560, 11092, 3860, 1381, 69, 63, NA, 146394,  X*
106, 109.9, 143390, 27979, 13120, 7684, 8483, 3804, 1747, 2024, 61, 60, NA, 208231,  X*
107, 111.0, 407986, 55596, 7858, 12098, 4131, 10735, 2114, 1001, 54, 53, NA, 501519,  X*
108, 111.9, 148756, 5488, 2023, 8914, 3591, 5446, 1629, 713, 47, 56, NA, 176560,  X*
109, 112.9, 131285, 58447, 10609, 9884, 7381, 5197, 2408, 624, 27, 51, NA, 225835,  X*
110, 114.9, 692467, 31066, 5715, 6086, 17981, 11926, 1144, 986, 44, 41, NA, 767371,  X*
111, 115.9, 44357, 9555, 1705, 1123, 2147, 1526, 593, 136, 43, 40, NA, 61142,  X*
112, 116.9, 303159, 37930, 17866, 5360, 5074, 7015, 1365, 1266, 29, 37, NA, 379035,  X*
113, 118.0, 73984, 12281, 16026, 10845, 4604, 4131, 3092, 528, 37, 50, NA, 125491,  X*
114, 118.9, 36317, 21246, 23954, 82240, 24156, 52758, 14139, 8367, 41, 64, NA, 263177,  X*
115, 119.9, 241413, 107789, 61576, 77995, 18709, 9661, 9856, 2966, 26, 78, NA, 529965,  X*
116, 120.9, 76709, 73212, 25842, 45472, 36791, 17711, 3056, 5824, 27, 80, NA, 284617,  X*
117, 121.9, 318061, 103007, 19774, 44626, 7674, 30591, 6669, 4130, 34, 70, NA, 534532,  X*
118, 122.9, 140386, 27671, 2034, 26508, 2916, 5640, 3098, 1022, 16, 67, NA, 209275,  X*
119, 123.9, 54218, 94323, 28527, 28712, 6929, 8377, 14002, 1110, 21, 61, NA, 236198,  X*
120, 124.9, 93701, 33023, 10826, 16574, 5109, 4329, 940, 545, 14, 63, NA, 165047,  X*
121, 125.9, 42140, 31719, 15033, 54980, 4810, 20585, 8931, 2946, 16, 70, NA, 181144,  X*
122, 127.0, 710908, 157554, 20975, 13974, 19710, 32281, 7103, 5011, 24, 60, NA, 967516,  X*
123, 127.9, 87949, 9080, 11778, 10196, 11039, 4976, 3449, 1590, 37, 63, NA, 140057,  X*
124, 128.9, 102083, 39744, 3793, 8713, 3875, 5893, 2321, 927, 43, 54, NA, 167349,  X*
125, 129.9, 23839, 35795, 13923, 63193, 13453, 14363, 9362, 2678, 37, 54, NA, 176606,  X*
126, 130.9, 77907, 65969, 12525, 34509, 9364, 26394, 9417, 2475, 40, 63, NA, 238560,  X*
127, 131.9, 365471, 171181, 77373, 17859, 19312, 25988, 20822, 3109, 34, 56, NA, 701115,  X*
128, 132.9, 114251, 21493, 4699, 14635, 2141, 11023, 2250, 659, 44, 63, NA, 171151,  X*
129, 133.9, 521283, 96917, 10967, 33199, 40395, 13925, 6017, 7145, 40, 50, NA, 729848,  X*
130, 134.9, 118138, 37644, 9986, 47980, 16723, 34096, 40917, 2899, 47, 54, NA, 308383,  X*
131, 135.9, 105804, 21426, 1501, 16880, 1746, 7052, 4422, 1283, 56, 57, NA, 160114,  X*
132, 136.9, 59404, 59709, 11219, 96547, 17132, 53182, 8636, 2690, 57, 60, NA, 308519,  X*
133, 137.9, 65627, 54344, 39719, 38283, 11126, 36063, 9980, 5197, 70, 67, NA, 260339,  X*
134, 138.9, 729942, 125068, 73447, 29831, 11866, 16301, 14776, 1820, 48, 67, NA, 1003051,  X*
135, 139.9, 83650, 53715, 51976, 32593, 19308, 15766, 5950, 3816, 43, 70, NA, 266774,  X*
136, 140.9, 394616, 125510, 13441, 31760, 14161, 16612, 21479, 4021, 29, 61, NA, 621600,  X*
137, 141.9, 390641, 17911, 3738, 20090, 5343, 17665, 8236, 4247, 37, 60, NA, 467871,  X*
138, 143.0, 47332, 19457, 5385, 18510, 9519, 6358, 3431, 1125, 44, 60, NA, 111117,  X*
139, 143.9, 130763, 30048, 3785, 9952, 7004, 6220, 3817, 593, 48, 50, NA, 192182,  X*
140, 144.9, 288555, 16355, 3394, 5034, 9196, 2298, 3212, 1171, 47, 51, NA, 329215,  X*
141, 145.9, 473664, 69878, 38186, 25524, 14249, 28587, 5721, 4005, 35, 51, NA, 659814,  X*
142, 146.9, 385516, 47605, 31509, 37774, 12286, 27512, 8636, 6189, 41, 53, NA, 557027,  X*
143, 147.9, 97930, 14053, 14114, 5472, 5411, 11879, 6359, 1157, 51, 57, NA, 156375,  X*
144, 148.9, 743811, 100362, 49356, 61986, 19115, 19459, 8735, 2044, 53, 66, NA, 1004868,  X*
145, 150.0, 617800, 35166, 15080, 6944, 5997, 6442, 2759, 1591, 47, 64, NA, 691779,  X*
146, 150.9, 653927, 39427, 10449, 62678, 11280, 20793, 17211, 5491, 43, 66, NA, 821256,  X*
147, 151.9, 333068, 37399, 12768, 12550, 6000, 8079, 5350, 705, 30, 64, NA, 415919,  X*
148, 152.9, 262194, 147219, 58891, 23670, 18043, 36083, 9656, 3377, 37, 60, NA, 559133,  X*
149, 153.9, 1942638, 72176, 8676, 56348, 16287, 34767, 3597, 4518, 47, 61, NA, 2139007,  X*
150, 154.9, 85106, 46731, 38297, 57095, 15831, 35040, 7223, 3127, 51, 61, NA, 288450,  X*
151, 155.9, 40933, 80563, 21926, 24924, 24376, 18010, 10256, 2790, 51, 57, NA, 223778,  X*
152, 156.9, 109501, 6981, 6059, 14161, 5851, 10132, 2562, 1274, 63, 64, NA, 156521,  X*
153, 157.9, 48421, 15475, 9212, 34032, 14777, 13951, 12489, 3704, 63, 70, NA, 152061,  X*
154, 159.0, 397530, 60770, 11357, 7543, 3523, 6790, 2078, 729, 48, 57, NA, 490320,  X*
155, 159.9, 23579, 26965, 23007, 72951, 29480, 27865, 13600, 7480, 54, 67, NA, 224927,  X*
156, 160.9, 404783, 185328, 12936, 47139, 13806, 26669, 8623, 3320, 40, 57, NA, 702604,  X*
157, 161.9, 40368, 94011, 15434, 10990, 33506, 37356, 23472, 4029, 43, 38, NA, 259166,  X*
158, 162.9, 520249, 52850, 24995, 30371, 19535, 18263, 20629, 4275, 51, 47, NA, 691167,  X*
159, 163.9, 503951, 135972, 29128, 27128, 16280, 32429, 11606, 15110, 50, 34, NA, 771604,  X*
160, 164.9, 9644, 49895, 10806, 91537, 22668, 14801, 12717, 15386, 48, 48, NA, 227454,  X*
161, 165.9, 652092, 98527, 63683, 26481, 30632, 23619, 17305, 4942, 35, 63, NA, 917281,  X*
162, 166.9, 78539, 100062, 17932, 55201, 16457, 33137, 6671, 8132, 38, 60, NA, 316131,  X*
